# room_id,账号名称,类目,店铺类型
# room_id = 抖音直播间 web_rid，即 live.douyin.com/<room_id> 中的数字
# 用法：python3 scripts/probe_live.py --file assets/accounts.csv
#
# 本文件只是缓存，不是前置依赖；新客户新账号一律直接搜索，不要预置任何品牌数据。
# ⚠️ room_id 需实际进入直播间确认。同一账号可能有多个入口 room_id；
#    未在此表中的账号，先用抖音搜索该账号名 → 直播标签 → 取 LiveLinkA 中的 web_rid。
#
# 示例（格式参考，实际使用时替换为真实查到的账号）：
# 12345678901,某品牌官方旗舰店,综合,旗舰店
# 23456789012,某品牌女装专卖店,女装,专卖店

# 2026-09-04 steapex TikTok 矩阵
@steapex.th,Steapex.th,鞋类,tiktok品牌号
@steapex.ph,Steapex.ph,鞋类,tiktok品牌号
@steapex.my,Steapex.Malaysia,鞋类,tiktok品牌号
@steapex.id,Steapex.id,鞋类,tiktok品牌号(未开播)
